Array,layer_thick,orientation,infill_pattern,infill_density,mwcnt,graphene,tensile_str,flexural_str
L9,0.19,On Short Edge,Honeycomb,90,0.5,0.0,10.5,25.37
L10,0.29,Flat,Grid,90,0.5,0.0,27.1,35.99
L11,0.29,Flat,Grid,90,0.5,0.0,25.59,37.85
L12,0.29,Flat,Grid,90,0.5,0.0,26.53,42.11
L13,0.29,On Long Edge,Honeycomb,50,0.5,0.0,24.73,40.26
L14,0.29,On Long Edge,Honeycomb,50,0.5,0.0,24.76,37.63
L15,0.29,On Long Edge,Honeycomb,50,0.5,0.0,25.55,41.17
L16,0.29,On Short Edge,Linear,70,0.5,0.0,6.96,13.91
L17,0.29,On Short Edge,Linear,70,0.5,0.0,7.69,24.28
L18,0.29,On Short Edge,Linear,70,0.5,0.0,9.12,17.66
L19,0.39,Flat,Honeycomb,70,0.5,0.0,29.09,27.58
L20,0.39,Flat,Honeycomb,70,0.5,0.0,20.25,23.92
L21,0.39,Flat,Honeycomb,70,0.5,0.0,19.47,28.05
L22,0.39,On Long Edge,Linear,90,0.5,0.0,27.47,36.31
L23,0.39,On Long Edge,Linear,90,0.5,0.0,27.92,37.28
L24,0.39,On Long Edge,Linear,90,0.5,0.0,26.94,45.98
L25,0.39,On Short Edge,Grid,50,0.5,0.0,11.64,16.86
L26,0.39,On Short Edge,Grid,50,0.5,0.0,10.93,15.69
L27,0.39,On Short Edge,Grid,50,0.5,0.0,9.41,18.83
L1,0.19,Flat,Linear,50,1.0,0.0,27.57,45.97
L2,0.19,Flat,Linear,50,1.0,0.0,28.54,44.51
L3,0.19,Flat,Linear,50,1.0,0.0,29.32,47.15
L4,0.19,On Long Edge,Grid,70,1.0,0.0,36.71,47.41
L5,0.19,On Long Edge,Grid,70,1.0,0.0,37.12,49.0
L6,0.19,On Long Edge,Grid,70,1.0,0.0,36.45,48.45
L7,0.19,On Short Edge,Honeycomb,90,1.0,0.0,12.81,22.73
L8,0.19,On Short Edge,Honeycomb,90,1.0,0.0,11.49,18.6
L9,0.19,On Short Edge,Honeycomb,90,1.0,0.0,11.62,24.67
L10,0.29,Flat,Grid,90,1.0,0.0,29.06,43.23
L11,0.29,Flat,Grid,90,1.0,0.0,30.71,43.24
L12,0.29,Flat,Grid,90,1.0,0.0,30.28,42.7
L13,0.29,On Long Edge,Honeycomb,50,1.0,0.0,34.51,46.9
L14,0.29,On Long Edge,Honeycomb,50,1.0,0.0,34.04,45.75
L15,0.29,On Long Edge,Honeycomb,50,1.0,0.0,33.88,46.13
L16,0.29,On Short Edge,Linear,70,1.0,0.0,10.16,21.54
L17,0.29,On Short Edge,Linear,70,1.0,0.0,11.4,17.68
L18,0.29,On Short Edge,Linear,70,1.0,0.0,11.46,17.45
L19,0.39,Flat,Honeycomb,70,1.0,0.0,17.39,29.49
L20,0.39,Flat,Honeycomb,70,1.0,0.0,18.96,27.22
L21,0.39,Flat,Honeycomb,70,1.0,0.0,18.69,30.22
L22,0.39,On Long Edge,Linear,90,1.0,0.0,36.78,48.11
L23,0.39,On Long Edge,Linear,90,1.0,0.0,36.58,47.34
L24,0.39,On Long Edge,Linear,90,1.0,0.0,34.58,47.64
L25,0.39,On Short Edge,Grid,50,1.0,0.0,14.12,17.85
L26,0.39,On Short Edge,Grid,50,1.0,0.0,13.22,16.91
L27,0.39,On Short Edge,Grid,50,1.0,0.0,12.13,19.08
L1,0.19,Flat,Linear,50,1.5,0.0,24.96,36.57
L2,0.19,Flat,Linear,50,1.5,0.0,22.19,40.05
L3,0.19,Flat,Linear,50,1.5,0.0,26.01,39.89
L4,0.19,On Long Edge,Grid,70,1.5,0.0,28.34,42.02
L5,0.19,On Long Edge,Grid,70,1.5,0.0,27.31,42.27
L6,0.19,On Long Edge,Grid,70,1.5,0.0,27.26,39.75
L7,0.19,On Short Edge,Honeycomb,90,1.5,0.0,5.79,13.88
L8,0.19,On Short Edge,Honeycomb,90,1.5,0.0,8.36,14.29
L9,0.19,On Short Edge,Honeycomb,90,1.5,0.0,6.36,17.55
L10,0.29,Flat,Grid,90,1.5,0.0,26.61,39.94
L11,0.29,Flat,Grid,90,1.5,0.0,26.8,39.44
L12,0.29,Flat,Grid,90,1.5,0.0,24.7,38.73
L13,0.29,On Long Edge,Honeycomb,50,1.5,0.0,24.77,35.78
L14,0.29,On Long Edge,Honeycomb,50,1.5,0.0,23.14,32.31
L15,0.29,On Long Edge,Honeycomb,50,1.5,0.0,22.67,34.5
L16,0.29,On Short Edge,Linear,70,1.5,0.0,10.54,16.32
L17,0.29,On Short Edge,Linear,70,1.5,0.0,11.98,14.98
L18,0.29,On Short Edge,Linear,70,1.5,0.0,10.78,15.13
L19,0.39,Flat,Honeycomb,70,1.5,0.0,20.93,25.32
L20,0.39,Flat,Honeycomb,70,1.5,0.0,19.6,25.43
L21,0.39,Flat,Honeycomb,70,1.5,0.0,19.95,26.45
L22,0.39,On Long Edge,Linear,90,1.5,0.0,23.33,37.17
L23,0.39,On Long Edge,Linear,90,1.5,0.0,23.54,40.98
L24,0.39,On Long Edge,Linear,90,1.5,0.0,23.52,41.41
L25,0.39,On Short Edge,Grid,50,1.5,0.0,12.1,14.35
L26,0.39,On Short Edge,Grid,50,1.5,0.0,14.01,17.11
L27,0.39,On Short Edge,Grid,50,1.5,0.0,12.41,16.09
L1,0.19,Flat,Linear,50,0.0,0.5,22.61,33.19
L2,0.19,Flat,Linear,50,0.0,0.5,22.67,37.0
L3,0.19,Flat,Linear,50,0.0,0.5,22.25,36.23
L4,0.19,On Long Edge,Grid,70,0.0,0.5,40.63,52.29
L5,0.19,On Long Edge,Grid,70,0.0,0.5,39.39,52.16
L6,0.19,On Long Edge,Grid,70,0.0,0.5,39.78,53.07
L7,0.19,On Short Edge,Honeycomb,90,0.0,0.5,7.78,42.63
L8,0.19,On Short Edge,Honeycomb,90,0.0,0.5,9.88,44.17
L9,0.19,On Short Edge,Honeycomb,90,0.0,0.5,10.9,45.55
L10,0.29,Flat,Grid,90,0.0,0.5,27.62,39.08
L11,0.29,Flat,Grid,90,0.0,0.5,26.33,38.53
L12,0.29,Flat,Grid,90,0.0,0.5,26.64,40.85
L13,0.29,On Long Edge,Honeycomb,50,0.0,0.5,25.38,35.58
L14,0.29,On Long Edge,Honeycomb,50,0.0,0.5,24.2,37.53
L15,0.29,On Long Edge,Honeycomb,50,0.0,0.5,24.07,36.12
L16,0.29,On Short Edge,Linear,70,0.0,0.5,7.03,38.57
L17,0.29,On Short Edge,Linear,70,0.0,0.5,8.67,36.51
L18,0.29,On Short Edge,Linear,70,0.0,0.5,6.84,37.09
L19,0.39,Flat,Honeycomb,70,0.0,0.5,27.18,42.33
L20,0.39,Flat,Honeycomb,70,0.0,0.5,28.59,40.69
L21,0.39,Flat,Honeycomb,70,0.0,0.5,26.71,40.22
L22,0.39,On Long Edge,Linear,90,0.0,0.5,31.78,47.05
L23,0.39,On Long Edge,Linear,90,0.0,0.5,27.97,45.84
L24,0.39,On Long Edge,Linear,90,0.0,0.5,30.3,46.33
L25,0.39,On Short Edge,Grid,50,0.0,0.5,4.98,21.97
L26,0.39,On Short Edge,Grid,50,0.0,0.5,6.49,22.02
L27,0.39,On Short Edge,Grid,50,0.0,0.5,4.25,21.71
L1,0.19,Flat,Linear,50,0.0,1.0,20.71,38.21
L2,0.19,Flat,Linear,50,0.0,1.0,16.62,35.27
L3,0.19,Flat,Linear,50,0.0,1.0,21.63,36.95
L4,0.19,On Long Edge,Grid,70,0.0,1.0,36.76,46.72
L5,0.19,On Long Edge,Grid,70,0.0,1.0,40.06,48.06
L6,0.19,On Long Edge,Grid,70,0.0,1.0,37.88,47.14
L7,0.19,On Short Edge,Honeycomb,90,0.0,1.0,10.66,37.56
L8,0.19,On Short Edge,Honeycomb,90,0.0,1.0,9.26,38.62
L9,0.19,On Short Edge,Honeycomb,90,0.0,1.0,11.45,37.74
L10,0.29,Flat,Grid,90,0.0,1.0,24.47,41.39
L11,0.29,Flat,Grid,90,0.0,1.0,25.18,41.44
L12,0.29,Flat,Grid,90,0.0,1.0,25.91,42.61
L13,0.29,On Long Edge,Honeycomb,50,0.0,1.0,23.05,37.88
L14,0.29,On Long Edge,Honeycomb,50,0.0,1.0,21.96,38.21
L15,0.29,On Long Edge,Honeycomb,50,0.0,1.0,22.61,38.9
L16,0.29,On Short Edge,Linear,70,0.0,1.0,6.17,32.49
L17,0.29,On Short Edge,Linear,70,0.0,1.0,10.04,32.03
L18,0.29,On Short Edge,Linear,70,0.0,1.0,5.45,30.84
L19,0.39,Flat,Honeycomb,70,0.0,1.0,25.84,33.6
L20,0.39,Flat,Honeycomb,70,0.0,1.0,26.81,30.1
L21,0.39,Flat,Honeycomb,70,0.0,1.0,26.63,33.53
L22,0.39,On Long Edge,Linear,90,0.0,1.0,28.54,48.19
L23,0.39,On Long Edge,Linear,90,0.0,1.0,28.78,45.79
L24,0.39,On Long Edge,Linear,90,0.0,1.0,29.81,46.46
L25,0.39,On Short Edge,Grid,50,0.0,1.0,5.58,18.5
L26,0.39,On Short Edge,Grid,50,0.0,1.0,4.8,14.95
L27,0.39,On Short Edge,Grid,50,0.0,1.0,5.47,16.58
L1,0.19,Flat,Linear,50,0.0,1.5,17.57,37.9
L2,0.19,Flat,Linear,50,0.0,1.5,21.93,37.07
L3,0.19,Flat,Linear,50,0.0,1.5,20.97,38.85
L4,0.19,On Long Edge,Grid,70,0.0,1.5,40.36,59.63
L5,0.19,On Long Edge,Grid,70,0.0,1.5,39.73,55.3
L6,0.19,On Long Edge,Grid,70,0.0,1.5,38.5,55.15
L7,0.19,On Short Edge,Honeycomb,90,0.0,1.5,7.5,35.2
L8,0.19,On Short Edge,Honeycomb,90,0.0,1.5,7.11,29.66
L9,0.19,On Short Edge,Honeycomb,90,0.0,1.5,7.9,32.18
L10,0.29,Flat,Grid,90,0.0,1.5,26.11,37.05
L11,0.29,Flat,Grid,90,0.0,1.5,26.31,37.68
L12,0.29,Flat,Grid,90,0.0,1.5,26.53,38.33
L13,0.29,On Long Edge,Honeycomb,50,0.0,1.5,23.84,41.97
L14,0.29,On Long Edge,Honeycomb,50,0.0,1.5,23.57,41.4
L15,0.29,On Long Edge,Honeycomb,50,0.0,1.5,24.12,41.44
L16,0.29,On Short Edge,Linear,70,0.0,1.5,6.06,30.1
L17,0.29,On Short Edge,Linear,70,0.0,1.5,5.14,29.13
L18,0.29,On Short Edge,Linear,70,0.0,1.5,5.56,28.91
L19,0.39,Flat,Honeycomb,70,0.0,1.5,27.55,30.61
L20,0.39,Flat,Honeycomb,70,0.0,1.5,27.23,31.29
L21,0.39,Flat,Honeycomb,70,0.0,1.5,28.24,31.36
L22,0.39,On Long Edge,Linear,90,0.0,1.5,31.44,44.04
L23,0.39,On Long Edge,Linear,90,0.0,1.5,26.8,47.87
L24,0.39,On Long Edge,Linear,90,0.0,1.5,28.24,45.06
L25,0.39,On Short Edge,Grid,50,0.0,1.5,3.65,24.56
L26,0.39,On Short Edge,Grid,50,0.0,1.5,3.99,23.87
L27,0.39,On Short Edge,Grid,50,0.0,1.5,2.99,22.92
S0,0.29,Flat,Honeycomb,90,0.0,0.0,21.97,31.96
S1,0.29,Flat,Honeycomb,90,0.0,0.0,22.1,35.73
S2,0.29,Flat,Honeycomb,90,0.0,0.0,21.33,31.74
S3,0.39,Flat,Honeycomb,50,0.0,0.0,22.27,30.33
S4,0.39,Flat,Honeycomb,50,0.0,0.0,20.47,29.82
S5,0.39,Flat,Honeycomb,50,0.0,0.0,20.47,27.54
S6,0.19,On Short Edge,Grid,70,0.0,0.0,11.47,12.74
S7,0.19,On Short Edge,Grid,70,0.0,0.0,9.75,15.8
S8,0.19,On Short Edge,Grid,70,0.0,0.0,10.37,17.79
S9,0.29,On Short Edge,Grid,50,0.0,0.0,10.85,13.63
S10,0.29,On Short Edge,Grid,50,0.0,0.0,12.94,16.32
S11,0.29,On Short Edge,Grid,50,0.0,0.0,11.71,13.6
S12,0.39,On Long Edge,Grid,90,0.0,0.0,25.61,44.86
S13,0.39,On Long Edge,Grid,90,0.0,0.0,25.08,45.46
S14,0.39,On Long Edge,Grid,90,0.0,0.0,25.56,43.95
S15,0.19,Flat,Grid,50,0.0,0.0,26.48,41.87
S16,0.19,Flat,Grid,50,0.0,0.0,27.0,35.27
S17,0.19,Flat,Grid,50,0.0,0.0,27.73,34.9
S18,0.29,Flat,Honeycomb,70,0.0,0.0,21.64,23.67
S19,0.29,Flat,Honeycomb,70,0.0,0.0,20.29,28.56
S20,0.29,Flat,Honeycomb,70,0.0,0.0,22.11,28.5
S21,0.39,Flat,Linear,90,0.0,0.0,22.01,35.58
S22,0.39,Flat,Linear,90,0.0,0.0,20.82,34.63
S23,0.39,Flat,Linear,90,0.0,0.0,21.71,38.66
S24,0.39,On Long Edge,Grid,70,0.0,0.0,26.31,36.45
S25,0.39,On Long Edge,Grid,70,0.0,0.0,26.29,39.58
S26,0.39,On Long Edge,Grid,70,0.0,0.0,25.41,41.84
S27,0.39,On Long Edge,Linear,70,0.0,0.0,24.29,42.24
S28,0.39,On Long Edge,Linear,70,0.0,0.0,22.65,39.42
S29,0.39,On Long Edge,Linear,70,0.0,0.0,23.68,42.34
S30,0.19,Flat,Honeycomb,50,0.0,0.0,22.09,31.59
S31,0.19,Flat,Honeycomb,50,0.0,0.0,21.54,29.29
S32,0.19,Flat,Honeycomb,50,0.0,0.0,23.22,35.08
S33,0.29,On Short Edge,Honeycomb,90,0.0,0.0,6.44,15.78
S34,0.29,On Short Edge,Honeycomb,90,0.0,0.0,6.82,12.04
S35,0.29,On Short Edge,Honeycomb,90,0.0,0.0,6.82,16.99
S36,0.29,Flat,Linear,70,0.0,0.0,23.3,37.0
S37,0.29,Flat,Linear,70,0.0,0.0,21.04,35.31
S38,0.29,Flat,Linear,70,0.0,0.0,23.41,32.77
S39,0.39,On Long Edge,Honeycomb,70,0.0,0.0,21.59,30.28
S40,0.39,On Long Edge,Honeycomb,70,0.0,0.0,21.31,35.6
S41,0.39,On Long Edge,Honeycomb,70,0.0,0.0,22.81,33.61
S42,0.39,On Short Edge,Honeycomb,70,0.0,0.0,4.42,6.86
S43,0.39,On Short Edge,Honeycomb,70,0.0,0.0,5.93,8.75
S44,0.39,On Short Edge,Honeycomb,70,0.0,0.0,4.67,9.16
S45,0.29,On Short Edge,Honeycomb,50,0.0,0.0,7.24,13.37
S46,0.29,On Short Edge,Honeycomb,50,0.0,0.0,6.53,10.43
S47,0.29,On Short Edge,Honeycomb,50,0.0,0.0,6.81,7.85
S48,0.29,On Long Edge,Grid,50,0.0,0.0,28.29,44.21
S49,0.29,On Long Edge,Grid,50,0.0,0.0,28.03,43.09
S50,0.29,On Long Edge,Grid,50,0.0,0.0,26.79,42.67
S51,0.19,On Long Edge,Grid,90,0.0,0.0,27.41,46.21
S52,0.19,On Long Edge,Grid,90,0.0,0.0,27.57,48.94
S53,0.19,On Long Edge,Grid,90,0.0,0.0,29.37,48.42
S54,0.29,On Short Edge,Linear,90,0.0,0.0,8.61,18.67
S55,0.29,On Short Edge,Linear,90,0.0,0.0,6.7,18.78
S56,0.29,On Short Edge,Linear,90,0.0,0.0,8.44,24.43
S57,0.29,On Long Edge,Honeycomb,90,0.0,0.0,22.71,40.98
S58,0.29,On Long Edge,Honeycomb,90,0.0,0.0,22.85,37.64
S59,0.29,On Long Edge,Honeycomb,90,0.0,0.0,23.89,42.0
S60,0.29,On Long Edge,Linear,50,0.0,0.0,26.1,41.23
S61,0.29,On Long Edge,Linear,50,0.0,0.0,26.64,40.12
S62,0.29,On Long Edge,Linear,50,0.0,0.0,25.92,48.26
S63,0.19,On Long Edge,Linear,90,0.0,0.0,24.22,46.42
S64,0.19,On Long Edge,Linear,90,0.0,0.0,25.18,46.56
S65,0.19,On Long Edge,Linear,90,0.0,0.0,23.73,47.86
S66,0.29,Flat,Linear,50,0.0,0.0,23.12,36.35
S67,0.29,Flat,Linear,50,0.0,0.0,23.25,38.79
S68,0.29,Flat,Linear,50,0.0,0.0,23.37,34.54
S69,0.29,On Short Edge,Linear,50,0.0,0.0,9.74,13.71
S70,0.29,On Short Edge,Linear,50,0.0,0.0,9.23,19.47
S71,0.29,On Short Edge,Linear,50,0.0,0.0,7.62,16.92
S72,0.19,Flat,Linear,90,0.0,0.0,23.97,41.45
S73,0.19,Flat,Linear,90,0.0,0.0,22.66,36.68
S74,0.19,Flat,Linear,90,0.0,0.0,24.2,40.35
S75,0.39,On Short Edge,Grid,90,0.0,0.0,9.93,18.61
S76,0.39,On Short Edge,Grid,90,0.0,0.0,9.11,18.35
S77,0.39,On Short Edge,Grid,90,0.0,0.0,9.97,16.2
S78,0.39,Flat,Grid,70,0.0,0.0,26.3,33.5
S79,0.39,Flat,Grid,70,0.0,0.0,23.62,33.92
S80,0.39,Flat,Grid,70,0.0,0.0,23.81,34.21
S81,0.19,On Long Edge,Linear,70,0.0,0.0,26.03,41.68
S82,0.19,On Long Edge,Linear,70,0.0,0.0,25.86,44.48
S83,0.19,On Long Edge,Linear,70,0.0,0.0,25.74,47.84
S84,0.39,Flat,Honeycomb,90,0.0,0.0,20.02,29.22
S85,0.39,Flat,Honeycomb,90,0.0,0.0,19.46,29.08
S86,0.39,Flat,Honeycomb,90,0.0,0.0,20.17,31.7
S87,0.19,On Long Edge,Honeycomb,70,0.0,0.0,23.38,40.08
S88,0.19,On Long Edge,Honeycomb,70,0.0,0.0,23.15,41.5
S89,0.19,On Long Edge,Honeycomb,70,0.0,0.0,22.9,44.38
S90,0.29,On Short Edge,Grid,70,0.0,0.0,11.48,13.06
S91,0.29,On Short Edge,Grid,70,0.0,0.0,9.99,16.1
S92,0.29,On Short Edge,Grid,70,0.0,0.0,10.73,16.63
S93,0.19,On Short Edge,Honeycomb,70,0.0,0.0,7.17,11.25
S94,0.19,On Short Edge,Honeycomb,70,0.0,0.0,6.02,7.98
S95,0.19,On Short Edge,Honeycomb,70,0.0,0.0,6.37,13.36
S96,0.29,Flat,Grid,50,0.0,0.0,26.87,32.77
S97,0.29,Flat,Grid,50,0.0,0.0,26.83,36.47
S98,0.29,Flat,Grid,50,0.0,0.0,25.9,35.95
S99,0.19,On Short Edge,Grid,90,0.0,0.0,11.39,18.64
S100,0.19,On Short Edge,Grid,90,0.0,0.0,11.65,22.51
S101,0.19,On Short Edge,Grid,90,0.0,0.0,12.29,23.63
S102,0.19,Flat,Grid,70,0.0,0.0,25.08,33.72
S103,0.19,Flat,Grid,70,0.0,0.0,26.74,37.01
S104,0.19,Flat,Grid,70,0.0,0.0,26.74,44.58
S105,0.29,Flat,Honeycomb,50,0.0,0.0,22.68,32.51
S106,0.29,Flat,Honeycomb,50,0.0,0.0,23.02,31.41
S107,0.29,Flat,Honeycomb,50,0.0,0.0,21.9,31.66
S108,0.19,Flat,Honeycomb,90,0.0,0.0,21.19,33.81
S109,0.19,Flat,Honeycomb,90,0.0,0.0,21.44,34.53
S110,0.19,Flat,Honeycomb,90,0.0,0.0,23.9,30.11
S111,0.39,On Short Edge,Honeycomb,90,0.0,0.0,5.81,8.5
S112,0.39,On Short Edge,Honeycomb,90,0.0,0.0,4.79,14.63
S113,0.39,On Short Edge,Honeycomb,90,0.0,0.0,5.27,9.72
S114,0.39,Flat,Linear,70,0.0,0.0,21.41,33.64
S115,0.39,Flat,Linear,70,0.0,0.0,21.4,32.59
S116,0.39,Flat,Linear,70,0.0,0.0,22.08,30.62
S117,0.39,On Short Edge,Linear,70,0.0,0.0,8.89,14.77
S118,0.39,On Short Edge,Linear,70,0.0,0.0,5.23,13.76
S119,0.39,On Short Edge,Linear,70,0.0,0.0,6.43,15.27
S120,0.19,On Short Edge,Grid,50,0.0,0.0,11.29,18.64
S121,0.19,On Short Edge,Grid,50,0.0,0.0,12.42,20.87
S122,0.19,On Short Edge,Grid,50,0.0,0.0,10.93,18.14
S123,0.29,On Long Edge,Grid,90,0.0,0.0,26.97,44.47
S124,0.29,On Long Edge,Grid,90,0.0,0.0,28.93,46.88
S125,0.29,On Long Edge,Grid,90,0.0,0.0,26.28,48.04
S126,0.39,On Short Edge,Honeycomb,50,0.0,0.0,7.72,12.17
S127,0.39,On Short Edge,Honeycomb,50,0.0,0.0,4.52,8.73
S128,0.39,On Short Edge,Honeycomb,50,0.0,0.0,6.96,8.22
S129,0.39,On Long Edge,Grid,50,0.0,0.0,27.12,44.03
S130,0.39,On Long Edge,Grid,50,0.0,0.0,25.92,42.14
S131,0.39,On Long Edge,Grid,50,0.0,0.0,23.88,39.95
S132,0.19,Flat,Honeycomb,70,0.0,0.0,21.57,27.35
S133,0.19,Flat,Honeycomb,70,0.0,0.0,23.22,26.94
S134,0.19,Flat,Honeycomb,70,0.0,0.0,21.4,30.48
S135,0.39,On Short Edge,Linear,90,0.0,0.0,8.35,14.24
S136,0.39,On Short Edge,Linear,90,0.0,0.0,8.11,17.52
S137,0.39,On Short Edge,Linear,90,0.0,0.0,6.22,18.55
S138,0.29,On Long Edge,Linear,90,0.0,0.0,24.94,44.27
S139,0.29,On Long Edge,Linear,90,0.0,0.0,24.82,44.76
S140,0.29,On Long Edge,Linear,90,0.0,0.0,24.86,47.13
S141,0.29,Flat,Linear,90,0.0,0.0,24.81,34.8
S142,0.29,Flat,Linear,90,0.0,0.0,25.29,33.18
S143,0.29,Flat,Linear,90,0.0,0.0,23.28,38.94
S144,0.39,On Long Edge,Honeycomb,90,0.0,0.0,21.83,37.54
S145,0.39,On Long Edge,Honeycomb,90,0.0,0.0,21.4,37.83
S146,0.39,On Long Edge,Honeycomb,90,0.0,0.0,21.07,40.88
S147,0.39,On Long Edge,Linear,50,0.0,0.0,24.42,40.38
S148,0.39,On Long Edge,Linear,50,0.0,0.0,24.9,42.65
S149,0.39,On Long Edge,Linear,50,0.0,0.0,24.82,43.38
S150,0.39,Flat,Linear,50,0.0,0.0,22.03,32.66
S151,0.39,Flat,Linear,50,0.0,0.0,23.41,35.31
S152,0.39,Flat,Linear,50,0.0,0.0,22.74,34.19
S153,0.39,On Short Edge,Linear,50,0.0,0.0,8.85,13.82
S154,0.39,On Short Edge,Linear,50,0.0,0.0,8.21,14.7
S155,0.39,On Short Edge,Linear,50,0.0,0.0,7.54,17.65
S156,0.39,On Long Edge,Honeycomb,50,0.0,0.0,22.95,38.46
S157,0.39,On Long Edge,Honeycomb,50,0.0,0.0,23.38,36.66
S158,0.39,On Long Edge,Honeycomb,50,0.0,0.0,22.83,35.91
S159,0.29,On Long Edge,Grid,70,0.0,0.0,27.59,41.5
S160,0.29,On Long Edge,Grid,70,0.0,0.0,27.39,43.15
S161,0.29,On Long Edge,Grid,70,0.0,0.0,26.59,46.54
S162,0.39,Flat,Grid,90,0.0,0.0,23.86,33.83
S163,0.39,Flat,Grid,90,0.0,0.0,25.76,38.38
S164,0.39,Flat,Grid,90,0.0,0.0,25.29,38.01
S165,0.29,On Long Edge,Linear,70,0.0,0.0,24.67,39.43
S166,0.29,On Long Edge,Linear,70,0.0,0.0,24.75,39.93
S167,0.29,On Long Edge,Linear,70,0.0,0.0,25.54,41.14
S168,0.29,On Long Edge,Honeycomb,70,0.0,0.0,22.08,35.41
S169,0.29,On Long Edge,Honeycomb,70,0.0,0.0,23.17,34.86
S170,0.29,On Long Edge,Honeycomb,70,0.0,0.0,22.08,36.69
S171,0.29,On Short Edge,Honeycomb,70,0.0,0.0,6.64,8.19
S172,0.29,On Short Edge,Honeycomb,70,0.0,0.0,6.02,9.87
S173,0.29,On Short Edge,Honeycomb,70,0.0,0.0,5.16,6.15
S174,0.19,Flat,Linear,70,0.0,0.0,23.03,35.03
S175,0.19,Flat,Linear,70,0.0,0.0,23.94,38.86
S176,0.19,Flat,Linear,70,0.0,0.0,24.42,35.15
S177,0.19,On Short Edge,Linear,70,0.0,0.0,8.62,14.48
S178,0.19,On Short Edge,Linear,70,0.0,0.0,8.62,16.1
S179,0.19,On Short Edge,Linear,70,0.0,0.0,8.92,14.87
S180,0.39,On Short Edge,Grid,70,0.0,0.0,10.09,17.14
S181,0.39,On Short Edge,Grid,70,0.0,0.0,9.54,14.57
S182,0.39,On Short Edge,Grid,70,0.0,0.0,10.24,12.75
S183,0.19,On Short Edge,Honeycomb,50,0.0,0.0,7.68,13.27
S184,0.19,On Short Edge,Honeycomb,50,0.0,0.0,7.57,11.49
S185,0.19,On Short Edge,Honeycomb,50,0.0,0.0,7.5,14.37
S186,0.19,On Long Edge,Grid,50,0.0,0.0,29.63,47.87
S187,0.19,On Long Edge,Grid,50,0.0,0.0,30.25,43.95
S188,0.19,On Long Edge,Grid,50,0.0,0.0,29.12,46.11
S189,0.39,Flat,Grid,50,0.0,0.0,27.3,32.42
S190,0.39,Flat,Grid,50,0.0,0.0,24.65,32.89
S191,0.39,Flat,Grid,50,0.0,0.0,23.52,33.06
S192,0.19,On Short Edge,Linear,90,0.0,0.0,8.05,21.25
S193,0.19,On Short Edge,Linear,90,0.0,0.0,9.01,25.17
S194,0.19,On Short Edge,Linear,90,0.0,0.0,9.55,19.6
S195,0.19,On Long Edge,Honeycomb,90,0.0,0.0,22.42,43.48
S196,0.19,On Long Edge,Honeycomb,90,0.0,0.0,22.05,46.52
